,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381
y,[-0.20395378865396402],[-0.203347174086688],[-0.20214274138854],[-0.200360006833148],[-0.198065446540448],[-0.195600309652116],[-0.193089322790452],[-0.190294557738624],[-0.18715899502034],[-0.18384659455771601],[-0.180377503846176],[-0.176685100300556],[-0.172828295544636],[-0.168767186500036],[-0.164622309032776],[-0.1603437092935],[-0.156028848643788],[-0.151971950272072],[-0.14782998611228798],[-0.14353361406815598],[-0.139451343965208],[-0.13624035357755598],[-0.133555433241316],[-0.13103881187215602],[-0.128858400635628],[-0.127067667074064],[-0.125544323625988],[-0.12452572457469199],[-0.123808483000932],[-0.122948875524416],[-0.121928611303808],[-0.1200681236497],[-0.117875522177912],[-0.115804172265852],[-0.114010473228632],[-0.112572921394228],[-0.111453817137544],[-0.110806584524464],[-0.109736689619928],[-0.108256509898944],[-0.106540576900632],[-0.104647012429564],[-0.102673659821648],[-0.10051770338883201],[-0.098521818708876],[-0.096442420165536],[-0.094239219394276],[-0.09216523953604],[-0.090266997537028],[-0.088536852538344],[-0.086969003631484],[-0.08552553599085201],[-0.084188622639948],[-0.0827286724691],[-0.081141924157544],[-0.079489967398516],[-0.077792242133016],[-0.076059001774376],[-0.074375576244284],[-0.07267950374452001],[-0.070996818563792],[-0.069289268282708],[-0.067504686329088],[-0.065583952926916],[-0.06357976395247601],[-0.061771638564868],[-0.060036695545124],[-0.05819757823672],[-0.05653165341752],[-0.055184288538244],[-0.053505364144528],[-0.05187845277302],[-0.050238110420132],[-0.04855315275804],[-0.04695416703348],[-0.045597042486616],[-0.044486670804172],[-0.043609056142072],[-0.042742059245672],[-0.041855093965535994],[-0.040872850088548004],[-0.039788843742112],[-0.03873201462106],[-0.037829501652924],[-0.037022288897112],[-0.036279879657952],[-0.035660487015159996],[-0.0350521552923],[-0.034355139214227996],[-0.033519663956392005],[-0.032739155664472004],[-0.032540861463948],[-0.032483218465692],[-0.032339805845556],[-0.032442160324764],[-0.032337405495964],[-0.031308796893492],[-0.029245120925696],[-0.027031251236228],[-0.024997423983932],[-0.022931839554676002],[-0.02080863453948],[-0.018703740150703998],[-0.016698417533756],[-0.014820706478448],[-0.013023635489824],[-0.011239419417249999],[-0.009476646121792],[-0.007697343278706],[-0.005798922656012],[-0.003787353868865],[-0.0015700843161439999],[0.0007939250698019997],[0.0030976176571740005],[0.005307935405758],[0.007489674204660001],[0.009762644289515999],[0.01208714628684],[0.014488202720876002],[0.016956111506244],[0.019475968969728],[0.021992474237132],[0.024631455313168002],[0.027409066238584003],[0.030285412988035998],[0.033276631435328004],[0.036398504294748],[0.039553958601800006],[0.0426512014279],[0.045670353652524],[0.048679129431428],[0.051717009015524],[0.05482439374432],[0.057948019018428],[0.06105767295778],[0.06415978513438],[0.06722506482476001],[0.07028157195972],[0.07332303343924],[0.07637714221148001],[0.07942029808478],[0.08251613206502],[0.0857601242401],[0.08891430438474],[0.09166869379572],[0.09436725741588001],[0.097070907695],[0.09972401416599999],[0.10238622997924],[0.10512633797604],[0.10783859819411999],[0.11060310222908],[0.11340078131448],[0.11608252575544],[0.11876473716168],[0.12137656664444],[0.12394635808452],[0.12643232938592],[0.12879965399739998],[0.13111233750808],[0.13319899919912],[0.13516402987776],[0.13714953517752],[0.13920508399891998],[0.14104736152917602],[0.142384289458536],[0.143370014981692],[0.144053830489612],[0.14445436286034],[0.14493443551024002],[0.14528809612796],[0.14556860446632],[0.14590612940476],[0.14695616946064],[0.14825515913636],[0.14974925391364],[0.151429500004284],[0.153036938507488],[0.15447261003492802],[0.1557101431844],[0.156883676837828],[0.157922619216332],[0.1588687557372],[0.159784466751828],[0.160665427039052],[0.16131577218093998],[0.161824628889488],[0.162269425895308],[0.1626027786209],[0.16280788275266],[0.16294386599904],[0.16353620647144002],[0.16455959779843599],[0.166121616143312],[0.16793489693054],[0.17001132143262002],[0.17193342655249202],[0.17332989483668398],[0.17440693924237602],[0.175220417786764],[0.176037831329908],[0.17689770590339599],[0.17769667447436],[0.178463667310608],[0.17949733877896798],[0.180713994934608],[0.181983982331088],[0.183141814923736],[0.184225215396852],[0.18536028685078001],[0.18628502659691998],[0.18691760799975202],[0.18731913326769598],[0.18747480161750402],[0.187739041538244],[0.18808306253301998],[0.18836430947064398],[0.188579692788904],[0.188680252799152],[0.188692328858172],[0.18833846344490401],[0.18783607606922398],[0.187534712760988],[0.187418540853564],[0.187387454942568],[0.187378224380276],[0.1881515108062],[0.18941660945136002],[0.19132785619756],[0.19306208908888],[0.194204192309216],[0.19395682105821602],[0.1933951995797],[0.193241631529384],[0.193408531036736],[0.19349718790759202],[0.193478345877996],[0.193628800525168],[0.193815213779792],[0.194007077422676],[0.194438746083512],[0.195442314988704],[0.19707273605324802],[0.19881670745167998],[0.19980968428065998],[0.200638693173984],[0.201705713514488],[0.202982463266796],[0.204370319466072],[0.205873375339888],[0.207593594074168],[0.2095921895498188],[0.2116028867462936],[0.2132352743854716],[0.2148119212699348],[0.21603341784721602],[0.2168012789437],[0.21727004746096398],[0.217610493836992],[0.21800700786556],[0.218462470310272],[0.21887050565522],[0.21905202787018],[0.21904437190744],[0.21903541745928398],[0.21901659920824001],[0.219022881798684],[0.219164658267268],[0.21950542021594002],[0.220320025463732],[0.221665284959988],[0.2233510021539],[0.225533827833856],[0.22786558090089198],[0.229669914304628],[0.231146564764312],[0.232646177498068],[0.234284001770092],[0.235874011939888],[0.23700308259651198],[0.23790545760948],[0.238596595183504],[0.2390210964177],[0.239127632822304],[0.2391054809033],[0.239438370739252],[0.2398342722425],[0.240400727507744],[0.241450518805384],[0.243069857704588],[0.24479818655788],[0.24558835845376],[0.24590434196859998],[0.24626281302660002],[0.2465947233372],[0.24687552816416],[0.24710235991352],[0.24740204542372],[0.24805203781904],[0.24919146718924],[0.25051367465324],[0.25201860526352],[0.25349265996208],[0.25451856366808],[0.25500257755864],[0.25522403833928],[0.25547042998588],[0.255722844204],[0.2558827787408],[0.25581570044604],[0.255800203011],[0.25584984245476],[0.25590146683824],[0.25589889539204],[0.25614282562884],[0.25670905500652],[0.25739029653844],[0.25822994489628],[0.25933640693947996],[0.26036025125772],[0.26097382384412005],[0.26099941918416],[0.26088228707732],[0.2607333357818],[0.26077604951596],[0.26105636745964],[0.26192998511384],[0.26360665416524],[0.26620739154332],[0.26947097426652],[0.27339835472732005],[0.27786793256768],[0.28232837182211995],[0.28671258465888],[0.29105552290692],[0.29513979262412],[0.29876983487576003],[0.30164856685084],[0.30350524180244],[0.30463074332847995],[0.30568682875572],[0.30705680914120004],[0.30850678540779997],[0.3100755617808],[0.31182405919496003],[0.31371210029144],[0.31571611315296],[0.31788730668616],[0.32022502198196],[0.32261359617728],[0.32508188903308],[0.32754613743935995],[0.33004473577424],[0.33273528182076],[0.33551873881972],[0.33829354976431997],[0.34109338035952],[0.34398257505612],[0.34694917121056],[0.35000508781408],[0.35314557571532],[0.35631034406188],[0.35938236618048],[0.36255204255775997],[0.36580474886903996],[0.36916883263192],[0.37263792006456],[0.37599494726856],[0.37937864803824],[0.38284099116036],[0.38632651411176],[0.3898133788576],[0.39328489392312005],[0.39677853251],[0.40028781638224],[0.40386359968096],[0.40730908825932],[0.41081322926336],[0.41434852297428],[0.41768661404004],[0.42142043558591996],[0.42482930543628]
x,[0.619568162268948],[0.619701955907512],[0.619587306297524],[0.619243564658028],[0.61883863932382],[0.6186125816818641],[0.6186573725861],[0.618784468084128],[0.618783075425804],[0.618603737902396],[0.618475397544972],[0.618295378084072],[0.6181216410315681],[0.618050078048652],[0.6179768446011441],[0.6178306769641241],[0.617579350314832],[0.617417938059412],[0.6174831065566679],[0.6175904889855279],[0.61769175542076],[0.616878857639468],[0.615267135625772],[0.613706186709152],[0.612483148612432],[0.612164728187468],[0.6121164976554241],[0.611846648582292],[0.610979426320768],[0.6096387718871961],[0.608756152795852],[0.607879665230672],[0.6068929184535999],[0.6064478659596401],[0.60644589492252],[0.6062567504259201],[0.6051553403262401],[0.60400803363752],[0.60328651011064],[0.60268179825032],[0.60199037846684],[0.6014886808131199],[0.60110623250776],[0.60036005226736],[0.5989510051791199],[0.5977143193384],[0.5967964740348001],[0.59585539292168],[0.59489777195516],[0.5941317577923201],[0.59348132678204],[0.5927439798098],[0.5916426622179599],[0.5906413747992],[0.58985500213616],[0.58908352109656],[0.5883075697437999],[0.58748342762732],[0.58663171289992],[0.5857638300081199],[0.5847547421546],[0.5836225323451599],[0.58264592338984],[0.58182436330348],[0.5809862464822401],[0.57993051292012],[0.57865486860632],[0.5776866097679599],[0.57695666409116],[0.5761807982325999],[0.5751459540864],[0.5742905690985599],[0.57359187202992],[0.5730232799289601],[0.5723688721012],[0.5715522384434],[0.57068644441948],[0.57004621412404],[0.5693539063856801],[0.5686448837313199],[0.56797793477156],[0.56753824540416],[0.56709914054428],[0.56647109405476],[0.5656578371104399],[0.56501129113716],[0.56445374519212],[0.56382958611488],[0.5633161720562],[0.56310810847172],[0.56308931587596],[0.56325297900244],[0.56327472104044],[0.56310417347644],[0.56285360803528],[0.56268212674532],[0.5622449715894801],[0.5616016030008],[0.56094614384252],[0.5601042066884],[0.55911952728144],[0.5582504967277601],[0.557465336424],[0.55656769738208],[0.55552891321984],[0.5545007832771199],[0.5533578089046799],[0.55222601984128],[0.5511669564457601],[0.55020445798516],[0.54939422780984],[0.5488027844241999],[0.5483277426562],[0.54775255767304],[0.54675632025916],[0.5454018499404],[0.54399471016828],[0.54249965672444],[0.5408379009445601],[0.53917296864208],[0.53768698788504],[0.5364895620704401],[0.53563125336224],[0.53510727876164],[0.5347063089174799],[0.5343017658464401],[0.53380441726288],[0.5331541112913599],[0.5321965613994399],[0.53101225805256],[0.5297815369446001],[0.52844265719388],[0.52689380874892],[0.52527937158292],[0.52362644792792],[0.52181029380808],[0.51988195853804],[0.51806921542696],[0.5162987156253199],[0.51464912975404],[0.5133954667524],[0.51280423588156],[0.512841075658],[0.51294569489356],[0.51248013059524],[0.51181428619128],[0.5110026066438],[0.51013809980924],[0.50925657909076],[0.5084588393652799],[0.5077932898176399],[0.5072558358399201],[0.50676796627616],[0.50625712532172],[0.5057426494953601],[0.50519075673736],[0.5046823680306],[0.50423177319088],[0.5038876484678799],[0.5036660039622],[0.50359133352232],[0.50383199025972],[0.5045205537384],[0.5055757453052],[0.5063882962042799],[0.50656424263952],[0.50626032157712],[0.50587340795784],[0.50556925211652],[0.50537689448684],[0.50537647336876],[0.5054928159546],[0.5056656649783999],[0.5056296752278],[0.50581476760832],[0.50650927141748],[0.5075879471878],[0.5082622100487599],[0.50849259495604],[0.50865282746264],[0.50849615235444],[0.50794969819752],[0.5073596123834001],[0.50709401732812],[0.50704685493608],[0.50703560185292],[0.506962559656],[0.50689787049336],[0.50683054394176],[0.5067637122621601],[0.50685039713068],[0.50754741854968],[0.50862578437684],[0.51007832213652],[0.5115039762196799],[0.5129740107264],[0.514011957182],[0.51415304546744],[0.51349144686312],[0.5123710823738],[0.51150497825028],[0.5110210817747199],[0.5109580471355599],[0.511072418629204],[0.510965685227372],[0.510663964063932],[0.510299647194728],[0.509971768626464],[0.509669858994908],[0.5094161874356999],[0.50938240542972],[0.509519495934312],[0.509707787264964],[0.509853518751512],[0.509899061495072],[0.51004554786944],[0.5102640009998719],[0.510424568217916],[0.510466641447912],[0.510453245647556],[0.510603589208764],[0.510697638246752],[0.5106110158371],[0.510508117325416],[0.510492037783532],[0.5106248306822041],[0.5109429724221121],[0.5117402926767121],[0.5132184130864601],[0.514602811211736],[0.515599066994152],[0.5155972748945999],[0.515008497499308],[0.514355442446056],[0.513972083072872],[0.513920337293396],[0.5141469983389519],[0.51439215060762],[0.5146023577291281],[0.51475538158042],[0.514858626924104],[0.51524639000738],[0.51604234450812],[0.516881632297256],[0.517049113818656],[0.516783640230852],[0.5163521349178201],[0.515833699688568],[0.515357218905088],[0.514924717530956],[0.514880256253472],[0.5156076977615199],[0.516929436862772],[0.518280204600436],[0.51967378468316],[0.520374689876864],[0.5202463706373119],[0.519811598577264],[0.519501557676772],[0.519219762000936],[0.5190100854677521],[0.518815388124552],[0.5186633556126801],[0.518599331510416],[0.51861837297416],[0.518625840893856],[0.5186236328832321],[0.51878181556724],[0.519219807691348],[0.5199928711837799],[0.5208263931075487],[0.52124894613387],[0.5214291387097827],[0.5216166643259028],[0.5218320213583972],[0.52216980931593],[0.5227262854074168],[0.5232531403208328],[0.5234584756527828],[0.5230496590711096],[0.5225461306462417],[0.522165554915756],[0.5219874431871601],[0.5219691932410241],[0.522002704941204],[0.522079230632256],[0.5221924714951917],[0.5222749990176077],[0.5224149146740744],[0.5227841307610436],[0.523192066978552],[0.523577674010856],[0.523633994965836],[0.523488770111876],[0.523342141864924],[0.523219975523932],[0.523154219900076],[0.5233803725699281],[0.523995480374968],[0.524895533076896],[0.525447809976804],[0.52553860500062],[0.525675625275448],[0.525932135897888],[0.526078131144352],[0.526001701514892],[0.525879627450744],[0.525762124049752],[0.525600633688296],[0.52529852802484],[0.52508172063528],[0.5250015664748481],[0.5249802784678],[0.5249833600457079],[0.525288016219876],[0.525958713470668],[0.52672970511252],[0.527618954121928],[0.528684596995288],[0.529546267429136],[0.529770332835104],[0.5293214839273881],[0.528722577845976],[0.5281768643914639],[0.5277900886268241],[0.528078413772288],[0.52948175312516],[0.531436153737432],[0.533732825255],[0.535912733311704],[0.5375427892632479],[0.538537435742212],[0.538608235606216],[0.537824504636],[0.53671542470056],[0.53587071221492],[0.5359102071466401],[0.5370631837074],[0.53915758648056],[0.54144923884776],[0.54368902215872],[0.54553698415356],[0.5467353625961999],[0.54732429929088],[0.54743871412756],[0.54684134593304],[0.54575315177416],[0.5444516918228],[0.5430558214539201],[0.54156660927228],[0.5400865149826],[0.53853560219912],[0.53695618315824],[0.53529900031468],[0.5335522815771601],[0.5317956233708799],[0.5299912957727599],[0.52811966879728],[0.5261660105831599],[0.5241375413045201],[0.52198412026936],[0.5197881775612401],[0.51762099772016],[0.51536868644456],[0.51300956714356],[0.51054352292936],[0.50795682015484],[0.5053974559184],[0.50278226404236],[0.50006635035952],[0.49728951093468],[0.49447036691395996],[0.49160756360276],[0.48864491421608003],[0.48564246676676],[0.48249882157252],[0.47944978351648],[0.47632082687016003],[0.473077252682],[0.46993625792896004],[0.46635041354444],[0.46304347510384]
z,[0.311886782837],[0.31190368741088004],[0.31186114325348],[0.31170975788152],[0.31153520357988],[0.31120591218676],[0.31062356262056],[0.30994260797656004],[0.30907065417699997],[0.3079882604102],[0.30692331817036],[0.30579359403212],[0.30464242512256],[0.30370875535972],[0.30278182310132],[0.30179932153252],[0.30087368448312],[0.30025969578244],[0.30003510798416],[0.29990324963487996],[0.29985289876256],[0.29908396749371996],[0.29754404931204],[0.295933649164],[0.29482283792588],[0.29484945258424],[0.29546486477503997],[0.29605871358616],[0.29629438578628],[0.29591328961448],[0.295164733802],[0.29398337241696],[0.29266107658764],[0.29210249018103995],[0.29227854940611997],[0.29256132335856],[0.29249667769579996],[0.29220439663172],[0.29172813233168],[0.29095539406444],[0.29003561056775995],[0.28946293932124],[0.28927260745584],[0.28914993428215996],[0.2887223719924],[0.28804930685552],[0.28723794444184003],[0.28639975382196],[0.2856293647592],[0.2851681175848],[0.28502830036956],[0.28497218425924004],[0.28475533813716],[0.28430642873256],[0.28359446647308],[0.28283088942907997],[0.28227997566507995],[0.28204600264956],[0.28184972326272],[0.28151640412272],[0.2809341024956],[0.28024036058688],[0.279654460036],[0.27912211039024004],[0.2786522855568],[0.27833741308816],[0.27818176503348],[0.27801586689296],[0.27753637205716],[0.27683231571892],[0.27589792892048004],[0.27520669466044],[0.27474813982144003],[0.27449468968212004],[0.27430414125344],[0.2741146087884],[0.27378711687036],[0.27329756147788],[0.27265980427788],[0.27202460442468],[0.27147613364059997],[0.27124373329028],[0.27125839733996],[0.27135386012159995],[0.27134319671608],[0.2711386806402],[0.27065184735456005],[0.27000044425271996],[0.269412640728],[0.26914856478599997],[0.26930037380632],[0.2696868883176],[0.27009630187272],[0.27034258427415997],[0.27031109135516],[0.27001520077224],[0.26948783660208],[0.26865583117948],[0.26775650676088003],[0.26700568563588],[0.26647435712968],[0.26614601748184],[0.2660360806274],[0.26601455479456],[0.2658552723294],[0.265397903977],[0.2646490696164],[0.26389738100476],[0.26328120622052],[0.26283943801468],[0.26264580806004],[0.26279755805536004],[0.26313041514755997],[0.26339942081216],[0.26333009143484004],[0.26289180387408],[0.2622320287976],[0.26139721992412],[0.26041781495632],[0.2594669339194],[0.25879291048524],[0.25843740763323997],[0.25848508271556003],[0.25891135984212],[0.25950216326832],[0.26012156959784],[0.26060613063632],[0.26091084002852],[0.26095682126608],[0.26082431663320005],[0.26059583403808],[0.26025705612924],[0.25978869339127997],[0.25921582781756003],[0.25860377431152],[0.25789926467476004],[0.25715528786652003],[0.25654224164899997],[0.25605543392236],[0.25577070314236],[0.25585377736464],[0.25635108555979996],[0.2570582717198],[0.25792322598112],[0.25888115170528],[0.25981835868423997],[0.260648021407],[0.26131571119144],[0.26195518504672],[0.2626721981768],[0.26347025136332003],[0.26441263782552],[0.26542453794532],[0.26638125601047996],[0.2673205341864],[0.26822206626096],[0.26912927520692],[0.2700186003768],[0.27088169921387995],[0.27165328240304],[0.27231103712332],[0.27289232275308],[0.27341538950912003],[0.27392776833096],[0.27439884189376],[0.2747845036868],[0.27501233087064],[0.2750689947528],[0.2750276130464],[0.27493803550036],[0.274828253216],[0.2747453143236],[0.27472580103804],[0.27478757446968],[0.27492779248832],[0.27514463526424],[0.2753828223236],[0.27554899049144005],[0.275612199515],[0.27553791129404004],[0.27533456222068],[0.27519705759108],[0.27530183473527997],[0.27570520342052],[0.27627079072476],[0.27685529641016],[0.27736744105172],[0.27780646539167997],[0.27803987860516],[0.27813794684516],[0.27817025431164],[0.27827577735528],[0.2784481804992],[0.27860895729796],[0.27867790774204004],[0.27867605061132],[0.27849531868048],[0.27806974101956],[0.27746679164724],[0.27690145959747997],[0.2766496440992],[0.27684975618224],[0.27746152428976],[0.27822966657040005],[0.27900597486196],[0.27976231103956],[0.28049521857348003],[0.28117780256228003],[0.28179605709708],[0.28244342876920003],[0.28310365081211997],[0.28370284348088004],[0.28419524581432004],[0.2844860781698],[0.28457565435508],[0.28461692622944],[0.28468872161048],[0.28475769284096],[0.28478813823432],[0.2847826264454],[0.28476869850956],[0.2847272007338],[0.28465981466592],[0.2845981385696],[0.28457656671980003],[0.28458307583608],[0.28465185548788],[0.28482122466532],[0.28510752054884003],[0.28523048658079997],[0.28497391287192],[0.28421460428264],[0.28319825685424],[0.28229163208504],[0.28176869627648],[0.28167913282924],[0.28188779774108],[0.2822259770012],[0.28252698470572],[0.28274249271923996],[0.28285618785820005],[0.28308128037908],[0.28344740611791996],[0.28387804489276003],[0.28420438983527996],[0.28447204327324005],[0.28476358880752],[0.28516825381392],[0.28576445051876],[0.28643950738188],[0.28721544531992],[0.28815451535291997],[0.28913083830784003],[0.289913566602],[0.29057325491348],[0.29098812775952],[0.29109468892912],[0.29098179014243997],[0.29082927998972],[0.29069748695332],[0.2906722648256],[0.29068417655524004],[0.29065687853204],[0.2906307733534],[0.29063781594848004],[0.29062839963355996],[0.29063027199888],[0.29069844451968],[0.29086713148632],[0.29121845597912],[0.29177697939288005],[0.29236573672812],[0.29299917206728],[0.29371702126439997],[0.29436098861708004],[0.29494908780168],[0.29559559664428003],[0.29630737620327996],[0.29698076410263996],[0.297443073477],[0.29783938900511997],[0.29818664140076],[0.29845266642108],[0.29854701517384],[0.29851800413576],[0.29855204463372],[0.29863033236152003],[0.298766525768],[0.29908644612491997],[0.29968207537748004],[0.30043106798288],[0.30101517919668],[0.3013599933916],[0.30159198544939997],[0.30178225739479997],[0.30194599371771996],[0.3020710236488],[0.30224598498012],[0.30262486407508],[0.30326517485640003],[0.30391911973888003],[0.3045157411054],[0.30511344446523997],[0.30560691122728],[0.30584685131892],[0.30589273420575996],[0.30590899838019997],[0.30592125976428],[0.305879258667],[0.3057143169654],[0.3055934058726],[0.30555676201896004],[0.30555710845663997],[0.3055554663552],[0.30572277638128],[0.30614190279196],[0.30664119801072],[0.30718726367556],[0.30780707978848004],[0.308298926028],[0.30839057071743997],[0.30786665919019995],[0.3070433111274],[0.30621206327716],[0.30561250247132],[0.3055113318876],[0.30608294517336],[0.30726035079536],[0.30884096927012],[0.310561794296],[0.31213943153404],[0.31346193062148003],[0.31419277629504],[0.3144507987626],[0.31461143878212],[0.31493914312092003],[0.3157924394642],[0.31708713795688],[0.31885831493236],[0.32063729076076],[0.32236126113516],[0.32409071449132],[0.3256197191344],[0.32689551345324],[0.32796370108376],[0.32862676100764],[0.32899802482784],[0.32933396606468],[0.32974579638708],[0.33017758984848],[0.33072408101748],[0.3313750782782],[0.33217048460924],[0.33312533417359996],[0.33420340041124],[0.33535196732308004],[0.33653356604192],[0.337782348831],[0.33905246826951996],[0.34031634041248],[0.34166478758644],[0.34312929293227995],[0.34460802792008],[0.34619820522572003],[0.34785024180699997],[0.34953762296992],[0.3512298366656],[0.35285247663804],[0.35454675111059997],[0.35630243787148],[0.35810736414084],[0.35986999501879996],[0.36155838724747996],[0.3632507447336],[0.36502925841584],[0.3668743075402],[0.36871333639228],[0.37051855890156],[0.37235415851708004],[0.37412499131612004],[0.37623621091028003],[0.3781937992858]
