[[ 0.26985816  0.55746534 -0.01870374  0.26603608]]
[[ 0.26985867  0.5565677  -0.01669842  0.26601455]]
[[ 0.27324932  0.55552891 -0.01482071  0.26585527]]
[[ 0.27490668  0.55450078 -0.01302364  0.2653979 ]]
[[ 0.27817495  0.55335781 -0.01123942  0.26464907]]
[[ 0.28156552  0.55222602 -0.00947665  0.26389738]]
[[ 0.28495487  0.55116696 -0.00769734  0.26328121]]
[[ 0.28834836  0.55020446 -0.00579892  0.26283944]]
[[ 0.28834893  0.54939423 -0.00378735  0.26264581]]
[[ 0.2917398   0.54880278 -0.00157008  0.26279756]]
[[0.29320291 0.54832774 0.00079393 0.26313042]]
[[0.29635788 0.54775256 0.00309762 0.26339942]]
[[0.29975006 0.54675632 0.00530794 0.26333009]]
[[0.30314241 0.54540185 0.00748967 0.2628918 ]]
[[0.30653211 0.54399471 0.00976264 0.26223203]]
[[0.30653268 0.54249966 0.01208715 0.26139722]]
[[0.30992422 0.5408379  0.0144882  0.26041781]]
[[0.31155071 0.53917297 0.01695611 0.25946693]]
[[0.31485708 0.53768699 0.01947597 0.25879291]]
[[0.31824218 0.53648956 0.02199247 0.25843741]]
[[0.32163372 0.53563125 0.02463146 0.25848508]]
[[0.32502271 0.53510728 0.02740907 0.25891136]]
[[0.32502387 0.53470631 0.03028541 0.25950216]]
[[0.32841693 0.53430177 0.03327663 0.26012157]]
[[0.32990848 0.53380442 0.0363985  0.26060613]]
[[0.33304059 0.53315411 0.03955396 0.26091084]]
[[0.33642534 0.53219656 0.0426512  0.26095682]]
[[0.33981625 0.53101226 0.04567035 0.26082432]]
[[0.34321011 0.52978154 0.04867913 0.26059583]]
[[0.343212   0.52844266 0.05171701 0.26025706]]
[[0.34660216 0.52689381 0.05482439 0.25978869]]
[[0.34825374 0.52527937 0.05794802 0.25921583]]
[[0.35153281 0.52362645 0.06105767 0.25860377]]
[[0.35492223 0.52181029 0.06415979 0.25789926]]
[[0.35831385 0.51988196 0.06722506 0.25715529]]
[[0.36169933 0.51806922 0.07028157 0.25654224]]
[[0.36170022 0.51629872 0.07332303 0.25605543]]
[[0.36509254 0.51464913 0.07637714 0.2557707 ]]
[[0.36659812 0.51339547 0.0794203  0.25585378]]
[[0.36971817 0.51280424 0.08251613 0.25635109]]
[[0.3731034  0.51284108 0.08576012 0.25705827]]
[[0.37649263 0.51294569 0.0889143  0.25792323]]
[[0.37988406 0.51248013 0.09166869 0.25888115]]
[[0.37988525 0.51181429 0.09436726 0.25981836]]
[[0.38327935 0.51100261 0.09707091 0.26064802]]
[[0.38491833 0.5101381  0.09972401 0.26131571]]
[[0.38820491 0.50925658 0.10238623 0.26195519]]
[[0.39159439 0.50845884 0.10512634 0.2626722 ]]
[[0.39498658 0.50779329 0.1078386  0.26347025]]
[[0.39837668 0.50725584 0.1106031  0.26441264]]
[[0.39837766 0.50676797 0.11340078 0.26542454]]
[[0.40176967 0.50625713 0.11608253 0.26638126]]
[[0.403233   0.50574265 0.11876474 0.26732053]]
[[0.40638905 0.50519076 0.12137657 0.26822207]]
[[0.40978213 0.50468237 0.12394636 0.26912928]]
[[0.41317175 0.50423177 0.12643233 0.2700186 ]]
[[0.41656039 0.50388765 0.12879965 0.2708817 ]]
[[0.41656155 0.503666   0.13111234 0.27165328]]
[[0.41995425 0.50359133 0.133199   0.27231104]]
[[0.42158635 0.50383199 0.13516403 0.27289232]]
[[0.42519139 0.50452055 0.13714954 0.27341539]]
[[0.42858241 0.50557575 0.13920508 0.27392777]]
[[0.43197316 0.5063883  0.14104736 0.27439884]]
[[0.43536004 0.50656424 0.14238429 0.2747845 ]]
[[0.43536071 0.50626032 0.14337001 0.27501233]]
[[0.43875276 0.50587341 0.14405383 0.27506899]]
[[0.4399018  0.50556925 0.14445436 0.27502761]]
[[0.44307133 0.50537689 0.14493444 0.27493804]]
[[0.44645797 0.50537647 0.1452881  0.27482825]]
[[0.44984703 0.50549282 0.1455686  0.27474531]]
[[0.453239   0.50566566 0.14590613 0.2747258 ]]
[[0.45323965 0.50562968 0.14695617 0.27478757]]
[[0.45664318 0.50581477 0.14825516 0.27492779]]
[[0.45828036 0.50650927 0.14974925 0.27514464]]
[[0.46155781 0.50758795 0.1514295  0.27538282]]
[[0.46494776 0.50826221 0.15303694 0.27554899]]
[[0.46833802 0.50849259 0.15447261 0.2756122 ]]
[[0.47172892 0.50865283 0.15571014 0.27553791]]
[[0.47172979 0.50849615 0.15688368 0.27533456]]
[[0.47568214 0.5079497  0.15792262 0.27519706]]
[[0.47660552 0.50735961 0.15886876 0.27530183]]
[[0.47974312 0.50709402 0.15978447 0.2757052 ]]
[[0.48313473 0.50704685 0.16066543 0.27627079]]
[[0.48652252 0.5070356  0.16131577 0.2768553 ]]
[[0.48991784 0.50696256 0.16182463 0.27736744]]
[[0.48991851 0.50689787 0.16226943 0.27780647]]
[[0.49331626 0.50683054 0.16260278 0.27803988]]
[[0.49490972 0.50676371 0.16280788 0.27813795]]
[[0.49824391 0.5068504  0.16294387 0.27817025]]
[[0.50162921 0.50754742 0.16353621 0.27827578]]
[[0.50501614 0.50862578 0.1645596  0.27844818]]
[[0.50840963 0.51007832 0.16612162 0.27860896]]
[[0.50841014 0.51150398 0.1679349  0.27867791]]
[[0.5118067  0.51297401 0.17001132 0.27867605]]
[[0.51324654 0.51401196 0.17193343 0.27849532]]
[[0.51641851 0.51415305 0.17332989 0.27806974]]
[[0.5198134  0.51349145 0.17440694 0.27746679]]
[[0.52319941 0.51237108 0.17522042 0.27690146]]
[[0.52660032 0.51150498 0.17603783 0.27664964]]
[[0.52660077 0.51102108 0.17689771 0.27684976]]
[[0.5299818  0.51095805 0.17769667 0.27746152]]
[[0.53162663 0.51107242 0.17846367 0.27822967]]
[[0.53491142 0.51096569 0.17949734 0.27900597]]
[[0.53830796 0.51066396 0.18071399 0.27976231]]
[[0.54169585 0.51029965 0.18198398 0.28049522]]
[[0.54508465 0.50997177 0.18314181 0.2811778 ]]
[[0.54508506 0.50966986 0.18422522 0.28179606]]
[[0.54847543 0.50941619 0.18536029 0.28244343]]
[[0.54996477 0.50938241 0.18628503 0.28310365]]
[[0.55309838 0.5095195  0.18691761 0.28370284]]
[[0.5564981  0.50970779 0.18731913 0.28419525]]
[[0.55987615 0.50985352 0.1874748  0.28448608]]
[[0.56327242 0.50989906 0.18773904 0.28457565]]
[[0.56327303 0.51004555 0.18808306 0.28461693]]
[[0.56666301 0.510264   0.18836431 0.28468872]]
[[0.5682953  0.51042457 0.18857969 0.28475769]]
[[0.57158892 0.51046664 0.18868025 0.28478814]]
[[0.57497987 0.51045325 0.18869233 0.28478263]]
[[0.57836909 0.51060359 0.18833846 0.2847687 ]]
[[0.5817585  0.51069764 0.18783608 0.2847272 ]]
[[0.58175953 0.51061102 0.18753471 0.28465981]]
[[0.58515866 0.51050812 0.18741854 0.28459814]]
[[0.58664699 0.51049204 0.18738745 0.28457657]]
[[0.58977342 0.51062483 0.18737822 0.28458308]]
[[0.59316308 0.51094297 0.18815151 0.28465186]]
[[0.59655367 0.51174029 0.18941661 0.28482122]]
[[0.59994367 0.51321841 0.19132786 0.28510752]]
[[0.59994456 0.51460281 0.19306209 0.28523049]]
[[0.60333643 0.51559907 0.19420419 0.28497391]]
[[0.60497945 0.51559727 0.19395682 0.2842146 ]]
[[0.60826731 0.5150085  0.1933952  0.28319826]]
[[0.6116551  0.51435544 0.19324163 0.28229163]]
[[0.61505047 0.51397208 0.19340853 0.2817687 ]]
[[0.61844676 0.51392034 0.19349719 0.28167913]]
[[0.61844743 0.514147   0.19347835 0.2818878 ]]
[[0.62182983 0.51439215 0.1936288  0.28222598]]
[[0.62330941 0.51460236 0.19381521 0.28252698]]
[[0.62644994 0.51475538 0.19400708 0.28274249]]
[[0.6298426  0.51485863 0.19443875 0.28285619]]
[[0.63323447 0.51524639 0.19544231 0.28308128]]
[[0.63662573 0.51604234 0.19707274 0.28344741]]
[[0.63662733 0.51688163 0.19881671 0.28387804]]
[[0.64002135 0.51704911 0.19980968 0.28420439]]
[[0.64161278 0.51678364 0.20063869 0.28447204]]
[[0.64495216 0.51635213 0.20170571 0.28476359]]
[[0.64833567 0.5158337  0.20298246 0.28516825]]
[[0.65172468 0.51535722 0.20437032 0.28576445]]
[[0.65511698 0.51492472 0.20587338 0.28643951]]
[[0.6551174  0.51488026 0.20759359 0.28721545]]
[[0.65850901 0.5156077  0.20959219 0.28815452]]
[[0.65997674 0.51692944 0.21160289 0.28913084]]
[[0.66312721 0.5182802  0.21323527 0.28991357]]
[[0.66652496 0.51967378 0.21481192 0.29057325]]
[[0.66991206 0.52037469 0.21603342 0.29098813]]
[[0.67330626 0.52024637 0.21680128 0.29109469]]
[[0.67330709 0.5198116  0.21727005 0.29098179]]
[[0.67669349 0.51950156 0.21761049 0.29082928]]
[[0.67835348 0.51921976 0.21800701 0.29069749]]
[[0.68162384 0.51901009 0.21846247 0.29067226]]
[[0.68500846 0.51881539 0.21887051 0.29068418]]
[[0.68840293 0.51866336 0.21905203 0.29065688]]
[[0.69179043 0.51859933 0.21904437 0.29063077]]
[[0.69179147 0.51861837 0.21903542 0.29063782]]
[[0.69519346 0.51862584 0.2190166  0.2906284 ]]
[[0.69665854 0.51862363 0.21902288 0.29063027]]
[[0.69980765 0.51878182 0.21916466 0.29069844]]
[[0.70319262 0.51921981 0.21950542 0.29086713]]
[[0.70658568 0.51999287 0.22032003 0.29121846]]
[[0.70997865 0.52082639 0.22166528 0.29177698]]
[[0.70998234 0.52124895 0.223351   0.29236574]]
[[0.71336913 0.52142914 0.22553383 0.29299917]]
[[0.71498035 0.52161666 0.22786558 0.29371702]]
[[0.71829744 0.52183202 0.22966991 0.29436099]]
[[0.72168596 0.52216981 0.23114656 0.29494909]]
[[0.72507906 0.52272629 0.23264618 0.2955956 ]]
[[0.72847458 0.52325314 0.234284   0.29630738]]
[[0.7284757  0.52345848 0.23587401 0.29698076]]
[[0.73186114 0.52304966 0.23700308 0.29744307]]
[[0.73335232 0.52254613 0.23790546 0.29783939]]
[[0.73648043 0.52216555 0.2385966  0.29818664]]
[[0.7398718  0.52198744 0.2390211  0.29845267]]
[[0.74326336 0.52196919 0.23912763 0.29854702]]
[[0.74665839 0.5220027  0.23910548 0.298518  ]]
[[0.74665878 0.52207923 0.23943837 0.29855204]]
[[0.75004434 0.52219247 0.23983427 0.29863033]]
[[0.75170117 0.522275   0.24040073 0.29876653]]
[[0.75497428 0.52241491 0.24145052 0.29908645]]
[[0.7583695  0.52278413 0.24306986 0.29968208]]
[[0.76176384 0.52319207 0.24479819 0.30043107]]
[[0.76514581 0.52357767 0.24558836 0.30101518]]
[[0.7651464  0.52363399 0.24590434 0.30135999]]
[[0.76853952 0.52348877 0.24626281 0.30159199]]
[[0.77003273 0.52334214 0.24659472 0.30178226]]
[[0.77315927 0.52321998 0.24687553 0.30194599]]
[[0.77655008 0.52315422 0.24710236 0.30207102]]
[[0.77993743 0.52338037 0.24740205 0.30224598]]
[[0.78332794 0.52399548 0.24805204 0.30262486]]
[[0.78332875 0.52489553 0.24919147 0.30326517]]
[[0.78672445 0.52544781 0.25051367 0.30391912]]
[[0.78833467 0.52553861 0.25201861 0.30451574]]
[[0.79165034 0.52567563 0.25349266 0.30511344]]
[[0.79503896 0.52593214 0.25451856 0.30560691]]
[[0.79843281 0.52607813 0.25500258 0.30584685]]
[[0.80182316 0.5260017  0.25522404 0.30589273]]
[[0.80182414 0.52587963 0.25547043 0.305909  ]]
[[0.80521258 0.52576212 0.25572284 0.30592126]]
[[0.80667997 0.52560063 0.25588278 0.30587926]]
[[0.80983435 0.52529853 0.2558157  0.30571432]]
[[0.81322543 0.52508172 0.2558002  0.30559341]]
[[0.81661786 0.52500157 0.25584984 0.30555676]]
[[0.82000843 0.52498028 0.25590147 0.30555711]]
[[0.82001145 0.52498336 0.2558989  0.30555547]]
[[0.82340415 0.52528802 0.25614283 0.30572278]]
[[0.82505642 0.52595871 0.25670906 0.3061419 ]]
[[0.82833087 0.52672971 0.2573903  0.3066412 ]]
[[0.83171678 0.52761895 0.25822994 0.30718726]]
[[0.83511457 0.5286846  0.25933641 0.30780708]]
[[0.83851167 0.52954627 0.26036025 0.30829893]]
[[0.8385127  0.52977033 0.26097382 0.30839057]]
[[0.8418905  0.52932148 0.26099942 0.30786666]]
[[0.84338355 0.52872258 0.26088229 0.30704331]]
[[0.8465157  0.52817686 0.26073334 0.30621206]]
[[0.84990511 0.52779009 0.26077605 0.3056125 ]]
[[0.85329272 0.52807841 0.26105637 0.30551133]]
[[0.85668479 0.52948175 0.26192999 0.30608295]]
[[0.85668536 0.53143615 0.26360665 0.30726035]]
[[0.8600797  0.53373283 0.26620739 0.30884097]]
[[0.86170483 0.53591273 0.26947097 0.31056179]]
[[0.86501305 0.53754279 0.27339835 0.31213943]]
[[0.86839847 0.53853744 0.27786793 0.31346193]]
[[0.87178649 0.53860824 0.28232837 0.31419278]]
[[0.87517823 0.5378245  0.28671258 0.3144508 ]]
[[0.87517868 0.53671542 0.29105552 0.31461144]]
[[0.87857712 0.53587071 0.29513979 0.31493914]]
[[0.88003702 0.53591021 0.29876983 0.31579244]]
[[0.8831866  0.53706318 0.30164857 0.31708714]]
[[0.88657784 0.53915759 0.30350524 0.31885831]]
[[0.88996737 0.54144924 0.30463074 0.32063729]]
[[0.89336172 0.54368902 0.30568683 0.32236126]]
[[0.89336247 0.54553698 0.30705681 0.32409071]]
[[0.89675563 0.54673536 0.30850679 0.32561972]]
[[0.89840253 0.5473243  0.31007556 0.32689551]]
[[0.9016842  0.54743871 0.31182406 0.3279637 ]]
[[0.9050742  0.54684135 0.3137121  0.32862676]]
[[0.90846114 0.54575315 0.31571611 0.32899802]]
[[0.91186072 0.54445169 0.31788731 0.32933397]]
[[0.9118613  0.54305582 0.32022502 0.3297458 ]]
[[0.91524932 0.54156661 0.3226136  0.33017759]]
[[0.91674358 0.54008651 0.32508189 0.33072408]]
[[0.91986328 0.5385356  0.32754614 0.33137508]]
[[0.9232531  0.53695618 0.33004474 0.33217048]]
[[0.92664795 0.535299   0.33273528 0.33312533]]
[[0.93003733 0.53355228 0.33551874 0.3342034 ]]
[[0.93004377 0.53179562 0.33829355 0.33535197]]
[[0.93343138 0.5299913  0.34109338 0.33653357]]
[[0.93506454 0.52811967 0.34398258 0.33778235]]
[[0.93836873 0.52616601 0.34694917 0.33905247]]
[[0.94175279 0.52413754 0.35000509 0.34031634]]
[[0.94514036 0.52198412 0.35314558 0.34166479]]
[[0.94852681 0.51978818 0.35631034 0.34312929]]
[[0.94852805 0.517621   0.35938237 0.34460803]]
[[0.95192119 0.51536869 0.36255204 0.34619821]]
[[0.95340716 0.51300957 0.36580475 0.34785024]]
[[0.95654629 0.51054352 0.36916883 0.34953762]]
[[0.95993563 0.50795682 0.37263792 0.35122984]]
[[0.9633222  0.50539746 0.37599495 0.35285248]]
[[0.96671194 0.50278226 0.37937865 0.35454675]]
[[0.96671235 0.50006635 0.38284099 0.35630244]]
[[0.97010403 0.49728951 0.38632651 0.35810736]]
[[0.97170547 0.49447037 0.38981338 0.35987   ]]
[[0.97503866 0.49160756 0.39328489 0.36155839]]
[[0.97842278 0.48864491 0.39677853 0.36325074]]
[[0.98181706 0.48564247 0.40028782 0.36502926]]
[[0.98521035 0.48249882 0.4038636  0.36687431]]
[[0.98521242 0.47944978 0.40730909 0.36871334]]
[[0.98860045 0.47632083 0.41081323 0.37051856]]
[[0.99008987 0.47307725 0.41434852 0.37235416]]
[[0.99322127 0.46993626 0.41768661 0.37412499]]
[[0.99661093 0.46635041 0.42142044 0.37623621]]
[[1.         0.46304348 0.42482931 0.3781938 ]]
